Track Name,Artist,Album,Duration (ms)
Por Culpa de Mi Orgullo,Amaya Hnos,Por Culpa de Mi Orgullo,236382
Te Olvidare,Amaya Hnos,Por Culpa de Mi Orgullo,181942
Disease,Lady Gaga,MAYHEM,229997
Abracadabra,Lady Gaga,MAYHEM,223398
Garden Of Eden,Lady Gaga,MAYHEM,239720
Perfect Celebrity,Lady Gaga,MAYHEM,229252
Vanish Into You,Lady Gaga,MAYHEM,244915
Killah (feat. Gesaffelstein),"Lady Gaga, Gesaffelstein",MAYHEM,210651
Zombieboy,Lady Gaga,MAYHEM,213337
LoveDrug,Lady Gaga,MAYHEM,193232
How Bad Do U Want Me,Lady Gaga,MAYHEM,238886
Don't Call Tonight,Lady Gaga,MAYHEM,225804
Shadow Of A Man,Lady Gaga,MAYHEM,199723
The Beast,Lady Gaga,MAYHEM,234280
Blade Of Grass,Lady Gaga,MAYHEM,257006
Die With A Smile,"Lady Gaga, Bruno Mars",MAYHEM,251667
American Idiot,Green Day,American Idiot,176346
Basket Case,Green Day,Dookie,181533
Good Riddance (Time of Your Life),Green Day,Nimrod,153466
Boulevard of Broken Dreams,Green Day,American Idiot (20th Anniversary Deluxe Edition),260936
Wake Me up When September Ends,Green Day,American Idiot,285653
When I Come Around,Green Day,Dookie,178000
Brain Stew,Green Day,Insomniac,193000
Holiday,Green Day,American Idiot (20th Anniversary Deluxe Edition),232826
21 Guns,Green Day,21st Century Breakdown,321093
Last Night on Earth,Green Day,21st Century Breakdown,236533
Wrong Ones (Feat. Tim McGraw),"Post Malone, Tim McGraw",F-1 Trillion,195822
Finer Things (Feat. Hank Williams Jr.),"Post Malone, Hank Williams, Jr.",F-1 Trillion,185533
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",F-1 Trillion,178205
Pour Me A Drink (Feat. Blake Shelton),"Post Malone, Blake Shelton",F-1 Trillion,195122
Have The Heart (Feat. Dolly Parton),"Post Malone, Dolly Parton",F-1 Trillion,183333
What Don't Belong To Me,Post Malone,F-1 Trillion,207176
Goes Without Saying (Feat. Brad Paisley),"Post Malone, Brad Paisley",F-1 Trillion,212353
Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs",F-1 Trillion,164011
Nosedive (Feat. Lainey Wilson),"Post Malone, Lainey Wilson",F-1 Trillion,192459
Losers (Feat. Jelly Roll),"Post Malone, Jelly Roll",F-1 Trillion,209038
Devil I've Been (Feat. ERNEST),"Post Malone, ERNEST",F-1 Trillion,182924
Never Love You Again (Feat. Sierra Ferrell),"Post Malone, Sierra Ferrell",F-1 Trillion,186861
Missin’ You Like This (Feat. Luke Combs),"Post Malone, Luke Combs",F-1 Trillion,222781
California Sober (Feat. Chris Stapleton),"Post Malone, Chris Stapleton",F-1 Trillion,204411
Hide My Gun (Feat. HARDY),"Post Malone, HARDY",F-1 Trillion,220479
Right About You,Post Malone,F-1 Trillion,183046
M-E-X-I-C-O (Feat. Billy Strings),"Post Malone, Billy Strings",F-1 Trillion,155928
Yours,Post Malone,F-1 Trillion,199438
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",UTOPIA,191700
CRUSH (with Travis Scott),"Playboi Carti, Travis Scott",MUSIC,173320
